ID,duration_sec,distance_m
0x7943,1272.8,24357.5
0x205d,1200.2,19739.1
0x5aad,743.8,7980.9
0xd747,833.6,6343.4
0xac01,1506.2,16464.6
0x9098,1069.6,13613.7
0xaff,2074.7,34902
0xa3a6,1004.5,16991.4
0x8a91,1125.7,12218.7
0x788d,1287.1,22532.1
0x6948,1356.3,20498.5
0x28e9,1016.5,15869.4
0x53ea,895.2,11710.8
0xcd30,1578.5,22231
0x57ce,901.2,12534.7
0x3d57,1562,25977.6
0xdd28,1683.9,31081.4
0x1b03,359,3924.3
0x9646,758.8,15837.4
0x3e9b,469.7,5559.2
0x33dd,1285.4,13897.4
0xab46,788.8,10704.6
0x7096,1022.1,15455.3
0xc55c,897.7,10489.1
0x9b27,457.1,7174.3
0xbc03,972.4,16362.5
0x38c5,1277.3,21684.3
0x2997,1594.9,28879
0x5aa4,665.6,8834.7
0x1d9c,478.8,7033.1
0xb041,1437.3,19927
0x5145,691,9003.3
0x91ba,1332.3,21740.2
0xc951,5201.2,67909.3
0xb0e7,1096.6,10382.2
0x1a1e,802.5,7893.8
0xcdf4,932.2,11620.2
0xaea,1591.8,23904.9
0x6723,1096.6,10382.2
0x326e,2097.5,27187
0x1983,610.8,7659.8
0x7648,1826.8,24540.7
0x8028,756.8,13988.4
0x5d47,1204.4,21521.6
0x5fd4,1427.5,21859.4
0xa14d,2169.1,36930.2
0x6b51,324.6,2724.8
0xa5dc,1216.7,16384.1
0x268b,1309.5,17705.9
0x15f4,1700.1,22820.6
0x711a,1617.9,19108.2
0x21c3,1067.2,17417.3
0x7022,1199.8,18955.2
0x33b9,599.1,3520.5
0x3b1e,1252.8,23900
0xa085,326.3,4001.2
0x4390,965.2,11439.8
0x56aa,365.4,5013.1
0x9797,1268.3,21942.5
0x7b89,603.5,8247.6
0xb52c,1181,16043.2
0x9571,1183.4,20300.1
0x2e2a,1054.3,7736.9
0x3318,1445.7,25058.6
0x7726,211.5,2198.4
0x94dd,1297.8,16018.8
0x8227,1195.6,13930.2
0xfc1,473.8,7245.7
0x8322,1558.1,23039
0xa635,963.6,14763.4
0x33be,633.3,9661.8
0x3d21,1056,15213.1
0xd152,1083.9,17513.6
0x1c01,1069.6,13613.7
0xd550,356.9,4256.3
0x7ffc,1599.1,22043.9
0x9e4e,664.7,6876.4
0x4e5a,1052.2,18758.8
0x3776,117.2,1866.3
0x9107,329.4,5009.9
0x7317,1235.7,16450.7
0x8464,549.3,7136.3
0x9af2,441,6963.4
0x8d48,584.6,7646.4
0xa077,1094.8,19154
0x8fa0,1057.2,19709.5
0x291d,1242.9,13850
0x7b54,1126.1,16560.4
0x895b,1278.5,24244.3
0x8583,984.9,15215.5
0x4340,809.9,13405.2
0xdd00,536.4,6789.3
0xdac9,1317.6,15444.7
0x5d7a,1055.5,18316.2
0x65b1,1079.4,13367.4
0x80aa,1783.3,23061.3
0xb22b,937.2,12010.7
0x1a31,883.4,16777.6
0xc2ba,866.7,12656.4
0x9892,1531.3,25801.8
0x4cce,227.9,2491.1
0x8b86,1114.8,18734.8
0xad08,620.5,8759.2
0xd4df,1496.2,16697.5
0x6561,259.3,2057.3
0xd02f,621.2,7501
0x6932,428.5,7041
0x5697,743,10068.9
0x25eb,1388.2,28332.2
0x9abf,1185.9,17622.5
0x9790,1250.7,23168.5
0x768d,630.3,11163
0x2c5a,1337.7,26086.5
0x163c,710.1,9683.8
0xd398,2321.9,41182.8
0x417b,238.6,2488.4
0x4291,1040.4,19494.3
0x5761,898.5,14115.8
0xa49a,462.5,6897.3
0xb4e4,1297.8,16018.8
0xdb84,1582,22643.5
0x7008,228.1,2795.8
0xa22e,869.8,9929.7
0x7820,741.1,14340.6
0x41f5,322.6,4082
0x7d1a,1021.4,12930.1
0x3b72,231.9,2377.3
0x8c6a,582.4,8994.9
0x25a5,949.4,14586.2
0xca3b,556.8,5759.5
0xa598,340.7,4833.3
0x1812,386.4,4062.9
0x53e7,1582.5,27740.1
0xdd8c,1142.1,12680.3
0x2668,1308.7,8843.6
0x4945,1445.5,18772.1
0x99b6,1189.6,13068.2
0x9869,892.7,11636.3
0x4593,1319.5,16804
0xc947,1517.8,22499.3
0xdfa1,850.1,12634.5
0x4062,389.9,6135.7
0x4b99,754.9,9503.9
0xc529,184.2,1910.3
0xb9d7,277.1,2444.8
0x41ee,1543.8,31115.8
0xae81,607,9479.4
0xbb43,143.9,1671.4
0x26be,353.3,4314
0xcf60,333.3,2559.2
0x665b,1399.8,23050.2
0xd086,1049.5,12599.3
0x500f,1401.3,23397.7
0x7f7e,825,12447.9
0xb01d,293.5,3823.4
0x50e7,1276.7,18255.2
0x411e,1893.9,26494.4
0xd14c,989.1,12645.9
0x8cc7,1996.1,27165.1
0x5cde,1470.2,14738.8
0x2048,737.7,9666.5
0x759d,1046.1,16067.9
0x1432,1207.7,14834.6
0x7a4d,1265,13383.1
0x5e22,922,11452
0x6c74,657.1,13217.7
0x836d,1118.6,15789.3
0xabbe,347.5,3733.9
0x96c3,1103.9,15437.2
0x2f75,1091.6,14931.1
0x92dd,691.1,9020.8
0x54b6,1405.1,17295.7
0x5177,1171,14123
0x9150,1356.6,19224.1
0x5997,1121.3,16306.8
0xc775,347.8,6220.2
0x4e36,649.8,10843.2
0x6e6f,1260.3,22343.1
0x8bb9,2304.1,29265.3
0x35ce,641.7,7490.6
0xd044,836.7,9103.7
0xa1a8,459.2,5178.6
0x2c77,549.2,6990.8
0xbaa4,298,3884.8
0x8445,1461.6,16407.7
0x3ce8,407.7,6920
0x9db4,675.8,11287.9
0x4c17,431.7,4561.2
0x6d8f,843.4,14151.7
0x7b92,752,9911.7
0x11e4,685.6,9419.9
0x164d,1334,17738.4
0xbeb1,785.9,11615.9
0xd2e5,952.9,10846.8
0x7c6,238.5,3369.7
0xd6c5,475.8,4080.3
0xcfaa,284.2,3838
0xb2b,980.3,14366.9
0x47c2,609.9,10503.5
0x57d0,1457.9,15941.5
0xd7fa,1070.7,22746.8
0x7e6e,853.7,12166.6
0xb26f,481.3,5849.9
0x64c5,595.2,8470.8
0xc02,481.3,5849.9
0x2c0b,730.1,11425.7
0x7b16,796.9,9218
0x223b,1615.3,23659.2
0x922a,506.5,6350.6
0x6c5a,571.2,8125.8
0xc72d,326.3,3765.6
0xcda0,297.8,3873.3
0x6a7b,2505.3,30315.7
0x2d99,335.3,3757.5
0x9bfd,888.3,12293.7
0x685c,1218.6,22171.2
0x340d,788.2,12001.5
0x9205,884.9,12742.2
0x3d6a,1376.4,21306.1
0x8376,802.5,7893.8
0xb6aa,1197.5,19246.2
0x3730,1309.8,19324.5
0x9481,469.9,6060.4
0xe19d,537.3,7101.4
0x30d5,508.3,7695.7
0x998b,158.1,1967.9
0xb76a,980.3,13415.2
0xa472,1632.3,27299.5
0xa0d3,982.5,16382.7
0x8dcd,1084.4,10604.7
0xc362,179,1983.7
0xa2da,722.2,15607.2
0x2e43,227.4,2541.5
0x3efa,216.1,2297.5
0xdc40,789.5,11149.1
0xbb2,1943.5,25814
0x632b,228.1,2795.8
0xa652,513.5,6476.5
0x325f,900.4,9251.5
0xd3e6,241.2,3024.3
0xd229,537.3,7101.4
0x2e15,1250,14387.3
0xb76e,1202,14397.5
0x953e,547.2,9594.6
0x44bc,1903.7,28185
0x2d82,855.9,9759.1
0x218d,227.9,2491.1
0x3d76,1582.8,23214.6
0xafd7,823.7,7898.1
0xa66,1705.6,20708.5
0x353d,992.6,11619.2
0x8d35,382,3588.9
0x5ae0,1491.5,23498.7
0x293c,901.2,13329.9
0x536c,514.4,6156.5
0xd6de,583.6,5837.8
0x577c,484.1,6774.9
0x83ad,1021.4,12930.1
0x40a7,517.1,6408.6
0x179b,393.8,4449.6
0xa229,511.7,4379.1
0x8229,1135.2,16150
0x1f3c,1465.6,25088.3
0xbb48,899.1,14113.7
0xdbdd,1153.5,15615.3
0xbfc4,266.5,3732
0x154a,820.6,10870.4
0x8273,850.4,8419.2
0x69a2,1420,27138.8
0xa03a,1061.3,19745.7
0x8fb2,1400.2,18400.9
0x42ec,915.8,9015.7
0xa8fb,370.8,4536.3
0x8105,195.6,1997
0x238b,683.1,4941.2
0x9e79,1050.3,18890.3
0x1f79,1273.4,21951.1
0x6c6,1086.5,13265.1
0xe08f,662.7,8741.2
0xb81a,1097.2,12416.2
0x95b6,856.6,11482
0x6742,1303.3,13289.6
0x7da4,195.2,2410.7
0x3493,1055.1,17220.6
0xba88,1224.3,13104.4
0xbd23,530.4,5993.6
0xd3e,158.3,2084
0x1a29,1470.6,15912
0x9d8,955,13869
0x3a89,360.8,5005.2
0x78a9,1242.9,13850
0x29fb,1537.6,20545
0x4641,611.2,7367.1
0x4dc2,1606.2,31922.4
0x41a1,335.9,4781.7
0x6df6,1337.2,21097.2
0x2d53,1040.4,19494.3
0x535e,176.9,2198.7
0xd247,823.3,9394.2
0xb8c2,467.7,5903.8
0xccb2,1292.2,16134.2
0x9566,428.4,5263.5
0x7dcf,1096.4,17918.8
0xcc88,543.2,6614.3
0x74d8,386.9,5396.6
0xdd97,759.9,5505.2
0xab97,498.6,6916.3
0xc3ed,1874.2,30006.2
0xb1a5,1612.7,27244.7
0x690e,1766.7,29223.4
0x1efe,952.7,13828.8
0xd1b8,760.5,11365.1
0xb37,1852.1,28028.4
0xdd9f,2321.9,41182.8
0x8a34,275.8,2706.5
0xc230,1874.2,30006.2
0x8e20,937.6,12352.3
0x46e7,1149.2,13473.5
0x9acc,1333,16053.7
0xa0e6,1391.1,22023.3
0x2656,651.2,5259.6
0x917f,1033.2,14975.9
0x728a,277.1,2444.8
0x5064,920.4,13285.8
0xd8af,1711.3,29136.9
0x1c54,652.4,6604.9
0x30df,1162.4,17447.7
0x7170,656.5,11163.3
0x310e,315.8,3405.4
0x5bca,776.7,10285.4
0x1275,1152.9,13166.3
0x3442,1471.1,19619.4
0xa816,919,17782.6
0x9dca,313,4040.1
0x2aa7,1457.4,18573.6
0xa189,955,13869
0x4700,1126.8,14724.4
0x7823,698.3,10760.5
0xd7aa,808.7,8208.4
0x3e82,1582.5,27740.1
0x323a,1434.1,21797.1
0x4e87,1488,22169.5
0xc452,1641.2,18597.7
0xb619,953.4,13921.2
0x1420,473.8,8374.3
0x8cb2,854.1,8594.7
0x1bec,354.6,3444.3
0x33fd,479.2,6473.3
0x791a,1278.5,24244.3
0x2e4e,803.5,10551.9
0x4585,1729.2,27132.7
0xa80b,606.4,8979.5
0xdf6c,1849.2,26471.1
0xc297,2207.5,26705.3
0xe48,949.4,14586.2
0x5d92,1424.8,19645.4
0x708b,330.6,4416.8
0x1cf1,1133,16586.9
0x1f29,1872.9,17959.8
0xb5db,1332.3,21740.2
0x7023,1091.6,14931.1
0x4b4e,510.5,5826
0x907,1086.5,13265.1
0x5e14,1582.1,23238.4
0xd8dc,2132.2,25861.7
0xa98f,1376.5,21119
0x8c7b,540.5,8127.8
0x4142,389.6,4354.1
0xa989,1805.9,26610.8
0x2213,1381.1,25661.5
0x9ea4,679.7,10298.8
0xd1de,404.2,4847.2
0xae16,1470.2,14738.8
0x2533,743.6,11398.5
0xcf52,688.9,6853.6
0x81e9,879.8,11817.3
0xc51,2091.3,33856.5
0x603b,1101.5,15042.5
0x228a,280.7,3979
0x6811,326.3,4001.2
0x1740,728.4,10893.9
0x6e40,1015.9,14821.1
0xc980,1723.2,21462.1
0x9999,358.9,4940.5
0x91cf,1074.2,15799.3
0x50cb,1653.9,21297.2
0xa805,1316.1,17076.2
0x469e,1017.8,16521.2
0x109a,1279.9,13032.9
0x9048,474.3,6421.8
0xd674,469.1,3773.5
0xb7ed,1033.6,19372.9
0x5efa,2074.4,35007.5
0xcc1b,2033.4,31584.9
0xa644,2306.9,36220.1
0x8dc0,1464.7,19932.8
0x8753,269.9,2516.1
0xd71b,1051.9,13992.6
0x9247,1197.1,17930.6
0x6cba,864.9,13999.3
0xd883,1488.9,21770
0xa12a,709,10261.9
0x88c1,1306.2,18695.4
0x93ef,868.3,11975.9
0x34a6,1088.8,13371.4
0x5176,1612.4,17210.1
0xba5,547.2,9594.6
0xa62a,670.4,10524.9
0xb6d1,988.6,13572.9
0x7ed,756.5,10060.1
0x1edb,1852.5,22369.6
0xe13,1544.2,21578.1
0xb429,1705.6,20708.5
0x5e92,1316.9,22059
0x3ae5,182.8,2479.7
0xb96a,666.1,7070.5
0x9b1b,972.1,14241.9
0xa6f9,1692.4,29020.2
0x4d6c,1279.9,13032.9
0x6e83,1292.6,22697.3
0x1a6c,1050.3,18890.3
0x3ebd,1531.3,25801.8
0x3419,616.3,7647.1
0x7c8c,571.2,8125.8
0x7769,814.5,13309.1
0xc06,383.5,4282.6
0x2e57,664.3,8740.3
0x969c,696,6947.9
0x3f7d,849.5,11788.7
0xc459,1692.8,31642.3
0x9eec,870.3,13187.7
0x9782,682.4,8696.8
0x7732,573.1,6166.7
0xb35b,1347.8,15803.2
0x1c33,1620.6,24486.2
0x1677,285.2,2315.5
0x4351,105.7,1785
0x20a1,798.1,12318.1
0x5ba0,1320.6,20344.4
0xd8a7,883.9,11777.6
0x1557,1371.9,15228.8
0x2a32,1557.6,25924
0x9e3b,936.2,18509.3
0x95cd,2078.1,33487.8
0x5bac,463.5,5884.7
0x84c2,1015.4,16899.9
0xa027,1222.7,12596
0x3ad1,649.8,10843.2
0xab3b,995.4,10957.1
0x9dfa,231.9,2377.3
0x3307,299.4,2207.9
0x5091,898.4,13076.5
0xc48f,1932.6,26259.2
0xa420,554.8,8703.1
0x6b2e,227.4,2541.5
0x317c,506.7,6056.9
0x68ba,1858.2,18917.4
0x7f88,1471.1,19619.4
0x49f8,508.8,4287.6
0x72f9,1199.1,22669.3
0x99bb,516.7,9601.4
0xe1d8,2819.8,28346.5
0x78a7,640,8636.2
0x507f,1478.4,19691
0x7597,794.8,10858.7
0x2100,1164.5,16112.7
0x9cc7,1292.6,22697.3
0xcc78,911.1,13355.7
0x72b1,746.8,12910.3
0x9b9e,2306.9,36220.1
0xb66,1057.6,14494.9
0x5d32,1285.6,14916.3
0x9da6,733.2,9929.7
0x52e0,1615.3,23659.2
0x8153,1040.4,19494.3
0x506f,376.4,4254.9
0x9dc9,1301.5,23663.6
0x8e5c,1356.3,20498.5
0xb0b2,1366.5,19485.4
0x8553,1682,18808.7
0x37b4,1765.8,25315.4
0x2363,852.7,14106.9
0x3695,1117.9,17965.6
0x7450,422.1,4432.3
0xc60,598.5,9625.1
0xb112,910.9,18475.6
0x9331,1464.8,17474.7
0x5b28,1065.8,15031.5
0x7c4e,900.6,13423.6
0xbb36,942.2,16497.3
0xfb5,1684.9,18265.4
0x6d6c,1147.1,16456
0x8720,462.5,6897.3
0x9a4c,649.8,10843.2
0x38df,1010.6,11622.6
0xd9f3,1092.1,16860
0x124a,502,7106.5
0x1db3,1405.9,22760.9
0x6c6e,428.5,5938.2
0x71b6,755.4,10611.9
0xaadb,965,11657.3
0x2887,599.9,8214.9
0xbe42,1013.5,7225.8
0x63b5,1909.5,24926.6
0xa8d7,861.7,12949.5
0xad18,2204.9,29587.2
0x8fc3,1528.5,25371.2
0xc5dd,1893.9,29480.4
0xaadd,1400,19000.5
0xa0b9,1246.6,18263.4
0x2604,1837.2,24961.4
